SES_original,SES_Top_0.1,SES_Top_0.2,SES_Top_0.4,DES_original,DES_Top_0.1,DES_Top_0.2,DES_Top_0.4,TES_original,TES_Top_0.1,TES_Top_0.2,TES_Top_0.4,ARIMA_original,ARIMA_Top_0.1,ARIMA_Top_0.2,ARIMA_Top_0.4,VAR_original,VAR_Top_0.1,VAR_Top_0.2,VAR_Top_0.4,Multivariate_LGBM_original,Multivariate_LGBM_Top_0.1,Multivariate_LGBM_Top_0.2,Multivariate_LGBM_Top_0.4,RNN_original,RNN_Top_0.1,RNN_Top_0.2,RNN_Top_0.4
287.73958740234434,306.1160716446291,317.7992149294446,222.95756637887757,318.4462385771126,68.81150850023778,281.999466648248,170.5744352432955,55.01237144946049,22.8026784521453,4.352781340494857,96.01806701893179,232.4093982306067,228.43671938652233,65.86469935850823,192.5576939985183,525.0518646560283,571.9581271914001,638.4728217171487,521.6725842576011,202.45483986950035,212.84169863921738,304.0554513570223,71.2764946814641,470.4286500504959,580.0678238049652,547.0201316392247,503.52289888725045
328.1017916797557,378.9510884257254,419.26704612327217,536.2907744852772,327.454392411757,314.8125268675308,331.71504603910375,399.4284268690528,808.2071239154265,763.2819581091353,745.0850092261296,699.5927452116882,328.1017719525769,378.9510850548363,419.267048142804,536.2907666864912,297.29104782197624,357.26639416839157,374.9329790618265,518.0667974351992,49.69543665502488,138.9731525063637,15.926469903468615,20.480882589755083,279.92587759625803,298.01157696646555,279.10679830710956,305.1431503047154
1208.8333658300244,1098.2766982552894,937.1691078624644,496.0180108243321,2297.86960432488,2080.9266799488905,1789.1035285097541,1254.710757527584,2683.7918958935606,2530.4446483203474,2157.957884741075,1655.581618564659,2026.248744570842,1704.2728899823896,1541.710989378862,959.1695173578337,848.7725556416253,694.2850355995333,388.9993816213655,176.96207307820714,498.5186355245578,537.9039339191177,181.40714638108693,145.1223447959046,1350.6782098354824,1358.9128179459449,1134.7438519173502,694.0787176475824
674.6050241832427,298.48205912485264,301.48173335030606,3006.793252882454,2428.0370131419495,1987.4515784757132,1418.6472743118757,1808.6885786800312,358.538538655469,579.651255317016,924.191744483951,3391.453571252654,2151.132472911395,1842.091889583884,1233.2895896215214,1925.520414361562,1877.092350496342,1722.3504464737425,2083.778694090528,3533.6438789809777,1481.6239871514435,741.6576148982404,496.1401495027603,2870.512216140148,619.3471963282591,464.4842758021532,174.93655774030958,2959.1106048295005
166.64045254960365,116.94898681758059,87.41978390928307,1569.2164950254837,2088.7407099794436,1993.0297381591681,1695.9943518754644,116.6462310331317,3472.3360710828674,3355.9690856506477,2906.5991315990486,611.0334243242196,2251.5436175678296,2129.484293659052,1800.357564954158,342.59108032840595,273.50314255711237,364.1725114458168,1075.9949374639127,2718.6260810769836,1564.5894663459603,1184.7248635404158,1123.2069963406775,1605.7920829107052,1073.2119974618345,836.3243158997593,494.27697052192343,1329.954848275489
344.7694357345233,391.33004201816607,435.11976263825,564.2707643222309,44.82682396620294,140.86739612975998,230.67193223437607,445.8957250730043,1228.4853964540373,1247.3598080708882,1265.4264739268294,1310.87895204381,669.9569070707489,693.9692154075076,648.5441619006981,692.0433251653037,624.2099484995863,702.790746632641,699.6801133280278,742.4264854996252,581.7283529411975,773.4201460161833,711.643999658655,1136.7136675414292,272.5889665745376,229.0502090461357,200.8948887387903,245.6077817610551
1038.938920751456,910.6678791630102,519.3964601612852,262.32756207676994,1292.5539656837318,1153.787164709196,761.485536752823,459.23107769815806,1438.5155905256925,1341.5979858069072,726.2312564460722,371.27256876020965,1112.702099666105,982.8804971241607,841.1759020692289,345.7058407764289,178.4398663417869,246.33101057577596,335.04565346670506,465.1232901892199,2213.701140101267,2290.9884168494073,1044.9997291958503,677.3426654733703,1249.0428179285273,1279.5542122471647,890.962395352577,687.7575839527149
529.9475063791028,461.1971635040054,391.9823249142187,228.3913444872751,621.0433084790866,495.7852415842922,379.12621985131454,194.37599789586466,284.5637310658767,283.424913356926,191.51573553011303,94.18827736438448,535.5222252767921,446.6345787529558,380.9243851355677,228.39129718908453,864.7493988744718,741.9335947706782,500.0785399302017,118.21954701177947,2508.1379060918725,2487.2452172589146,2076.095496110328,1419.2363064799488,839.845899998214,838.4996722058336,765.058164849836,605.4624870564053
1368.2163849608655,1398.2040075435339,1464.1139710268253,1634.8360406885968,1440.3731615593838,1476.1897840546735,1564.6880505753165,1710.2937977645993,1753.9473361805503,1759.6330371657918,1785.1444657957372,1781.7997402451078,1453.308889520396,1490.687918729896,1561.1225075428815,1519.4983987025657,1306.4609498110303,1343.0375632639366,1328.1882766544213,1403.1697607029969,1805.9936833774827,1796.390604861127,1791.2952546209822,1911.8011803521272,1875.982567297006,1792.527548312467,1822.6383619542457,1868.908982263723
162.45319959270364,112.69576463906287,28.41203254451466,95.72092917618193,46.69076875377459,66.57717018902713,110.45001176141113,159.30364575783187,599.8728176557802,572.5496668408114,539.9671624098669,470.9784609846647,164.53576071559655,116.50596572832,38.715723136126144,73.33183147091222,286.52831795332713,259.64064605195927,267.30686012253955,263.79650468239015,91.82386522375782,323.746923042675,147.8281509590961,108.47092690715363,302.6799528051297,246.166699829535,273.8013098934398,269.53716734339014
