Model,Original_h1,AN_0.5,AN_1,AN_1.5,AN_2
SES,20.637649514380367,25.97554529951899,37.45434022911441,50.98604731490835,63.635557588954605
DES,20.746282261236832,28.355189246443107,45.20037424180309,60.92136764187932,74.69517888340303
TES,18.63839302650244,30.346712288989146,51.129445165689866,67.4827764997962,81.58807797476643
ARIMA,18.542135277713168,26.488692490661286,41.37400072906848,53.95238849017314,67.42469301317313
VAR,23.60083219180048,37.904190028249864,49.07705232166439,60.02368529619946,68.20659354132953
Multivariate_LGBM,18.856332868867927,24.348026467464557,36.65669903300458,48.740725680937416,62.41009605061755
RNN,18.58625068073341,20.639202433828427,22.772593102877476,26.585266978591726,27.673146158354328
