Model,Original_1,Original_18,h1_0.1,h18_0.1,h1_0.2,h18_0.2,h1_0.4,h18_0.4
SES,686.71,810.95,678.27,796.89,694.71,801.7,748.84,833.56
DES,680.54,901.69,671.48,825.47,682.41,782.25,736.33,808.82
TES,637.9,902.28,627.09,827.13,642.72,782.77,716.24,778.18
ARIMA,646.77,835.04,643.02,773.1,657.3,733.79,719.69,749.19
VAR,747.77,1220.55,742.18,1059.01,745.82,984.13,798.74,926.44
Multivariate_LGBM,650.22,743.04,637.77,745.7,646.44,756.93,725.92,812.63
RNN,631.95,730.69,633.67,712.62,651.84,732.82,728.42,824.99
