Model,Original_h18,Bottom_0.1,Bottom_0.2,Bottom_0.4
SES,24.043469439198617,24.552659484937145,25.404222683760075,28.566543024918943
DES,25.036277949314556,24.763452558521177,24.890236801325578,27.303112276911513
TES,24.09293895148292,23.07079607949057,22.923300518751308,25.419643149309586
ARIMA,22.928139036989798,22.956743185841745,23.607780256166492,27.37673727385397
VAR,30.604915954276112,29.560406770437908,27.908020225090592,30.43889048350054
Multivariate_LGBM,22.17247716982424,22.423566259338568,23.16643525454659,26.59525792722825
RNN,21.145590068713467,21.481785358665626,22.690674886888413,25.80821992843664
