Model,Original_h18,AN_0.5,AN_1,AN_1.5,AN_2
SES,24.043469439198617,25.12769172988329,33.71132004708529,44.45329797232341,57.04876241381584
DES,25.036277949314556,31.32584024136848,45.9564065688608,59.295948418787304,72.77322031211327
TES,24.09293895148292,33.720929671170616,49.78613588283164,62.62164151827437,74.9300033990102
ARIMA,22.928139036989798,29.190481967987292,39.69687927260199,50.744226939383864,60.36852356632374
VAR,30.604915954276112,32.44469771524355,40.50719211576311,49.32603057886142,60.72737443261913
Multivariate_LGBM,22.17247716982424,26.389522687223565,35.814546204650895,48.0957283930139,58.5590872487327
RNN,21.145590068713467,23.216742796169267,27.286197425798992,29.146062869097467,29.973278150513995
