Model,Original_h1,DP_0.1,DP_1,DP_4.6,DP_10,DP_20
SES,20.637649514380367,161.74255990851083,120.42584109006592,43.043742682147986,26.757397739785393,21.62223396365808
DES,20.746282261236832,153.88085332737043,123.77340970721458,53.15212095111893,31.928221489660235,23.443909560689637
TES,18.63839302650244,145.10428639170178,120.2031395732769,59.07547120307729,34.089901146521804,23.712948972311
ARIMA,18.542135277713168,156.9667060592109,116.24751175344805,47.233331939559605,29.27082871270061,22.259907250981758
VAR,23.60083219180048,150.6737415746634,119.52428273788016,52.758487801274576,38.869489127961806,29.86193680666196
Multivariate_LGBM,18.856332868867927,134.27516088565355,99.5418948501227,42.46283116973291,25.602281173165366,21.288192951715207
RNN,18.58625068073341,64.17211970471591,37.246377400357176,23.934294718498478,21.270165602722745,19.850740609747213
