Model,Original_h18,Top_0.1,Top_0.2,Top_0.4
SES,24.04346944,23.715498,23.69424089,24.33738862
DES,25.03627795,23.91417104,23.10010063,23.62667695
TES,24.09293895,22.93624909,22.15891463,22.31608815
ARIMA,22.92813904,22.06978432,21.49868584,22.12282091
VAR,30.60491595,28.7428113,27.76612289,27.03865203
Multivariate_LGBM,22.17247717,22.27527092,22.47256807,23.61418788
RNN,21.14559007,21.08269708,21.42097213,23.50806764
