Model,Original_h1,Bottom_0.1,Bottom_0.2,Bottom_0.4
SES,20.637649514380367,20.870645752826405,21.718895019886382,25.551427101915873
DES,20.746282261236832,20.480603331363966,20.931639084790238,24.55492224018766
TES,18.63839302650244,18.987942960495243,19.951753577580426,24.22617600634208
ARIMA,18.542135277713168,18.984958977241,20.601170476298975,25.15439103792086
VAR,23.60083219180048,21.23845555712223,21.314013413144085,25.153814746830825
Multivariate_LGBM,18.856332868867927,19.158109198832616,20.880651030361907,24.70865333423257
RNN,18.58625068073341,19.038591799362713,20.5975575612189,25.04451981591764
