SES_original,SES_AN_0.5,SES_AN_1,SES_AN_1.5,SES_AN_2,DES_original,DES_AN_0.5,DES_AN_1,DES_AN_1.5,DES_AN_2,TES_original,TES_AN_0.5,TES_AN_1,TES_AN_1.5,TES_AN_2,ARIMA_original,ARIMA_AN_0.5,ARIMA_AN_1,ARIMA_AN_1.5,ARIMA_AN_2,VAR_original,VAR_AN_0.5,VAR_AN_1,VAR_AN_1.5,VAR_AN_2,Multivariate_LGBM_original,Multivariate_LGBM_AN_0.5,Multivariate_LGBM_AN_1,Multivariate_LGBM_AN_1.5,Multivariate_LGBM_AN_2,RNN_original,RNN_AN_0.5,RNN_AN_1,RNN_AN_1.5,RNN_AN_2
287.7395874,225.201363,225.201363,1125.368397,1141.025035,318.4462386,313.1680707,313.1680707,1241.887972,1229.766349,55.01237145,1301.556422,1301.556422,1438.716701,1439.407249,232.4093982,225.2013377,225.2013377,1125.368423,1141.025033,525.0518647,517.3629551,517.3629551,741.7834005,549.105735,202.4548399,578.1983274,578.1983274,206.6004522,765.2986409,470.4286501,229.5230847,229.5230847,801.746728,674.7538603
328.1017917,694.9643047,694.9643047,1207.338701,1266.232955,327.4543924,423.8703409,423.8703409,1195.630033,1211.556976,808.2071239,1216.094669,1216.094669,1297.457236,1299.599871,328.101772,694.9643131,694.9643131,1116.349476,1352.647557,297.2910478,689.5430747,689.5430747,1210.335343,1218.037277,49.69543666,364.6855695,364.6855695,442.327159,1203.040655,279.9258776,248.1345854,248.1345854,995.1548713,726.5373004
1208.833366,872.5984928,872.5984928,2706.914425,3330.678813,2297.869604,2232.377689,2232.377689,1289.600922,747.9808342,2683.791896,3131.549375,3131.549375,12251.86872,13360.38698,2026.248745,1798.381126,1798.381126,1280.803268,3330.678642,848.7725556,130.3068615,130.3068615,2466.10786,2057.804205,498.5186355,352.1559739,352.1559739,1673.668417,2129.654358,1350.67821,1194.145398,1194.145398,322.4678805,97.02685598
674.6050242,914.891593,914.891593,5870.774998,5898.162467,2428.037013,1671.247526,1671.247526,4067.582384,4271.784338,358.5385387,1687.710415,1687.710415,4987.970985,5180.516796,2151.132473,1156.991032,1156.991032,5870.774993,5898.162457,1877.09235,3384.496353,3384.496353,5888.558987,6024.096356,1481.623987,2463.386492,2463.386492,643.9859221,3476.705802,619.3471963,62.1902098,62.1902098,937.9737891,1587.851744
166.6404525,79.9833952,79.9833952,3641.382632,7261.708887,2088.74071,2215.30823,2215.30823,1684.594908,1655.151637,3472.336071,1879.009353,1879.009353,650.6760174,2099.991798,2251.543618,2038.251829,2038.251829,1511.946814,7261.708781,273.5031426,2259.505281,2259.505281,5134.154743,5666.254908,1564.589466,1055.820644,1055.820644,394.3433166,584.8253695,1073.211997,1187.414415,1187.414415,715.8073375,1222.873235
344.7694357,869.754107,869.754107,1620.867785,1736.565778,44.82682397,1119.542769,1119.542769,1735.031866,1824.779093,1228.485396,1906.562894,1906.562894,2085.7945,2084.523741,669.9569071,869.7540997,869.7540997,1620.867734,1752.923556,624.2099485,1188.478727,1188.478727,1770.898359,1726.820539,581.7283529,775.0571454,775.0571454,941.6673415,1338.505491,272.5889666,255.546616,255.546616,99.8778751,63.34176721
1038.938921,704.5070888,704.5070888,1451.069022,1854.646018,1292.553966,807.1663712,807.1663712,750.0831836,1829.232216,1438.515591,822.0851736,822.0851736,4581.861555,1382.902599,1112.7021,89.28232233,89.28232233,1451.069022,1854.646049,178.4398663,236.9929326,236.9929326,2692.940374,1081.048431,2213.70114,1664.043686,1664.043686,1620.220371,862.0053572,1249.042818,904.3987554,904.3987554,200.0149414,47.50484238
529.9475064,244.9391925,244.9391925,951.8781123,1132.534552,621.0433085,355.8624026,355.8624026,1164.043536,1414.083042,284.5637311,1501.859431,1501.859431,684.6121565,489.2079787,535.5222253,102.6614083,102.6614083,951.8768023,1132.534535,864.7493989,781.3769265,781.3769265,1648.113961,1669.719582,2508.137906,1390.53527,1390.53527,1476.355818,380.1181999,839.8459,821.015046,821.015046,680.4768285,610.4786934
1368.216385,1512.87841,1512.87841,2904.991887,3539.382519,1440.373162,1751.921849,1751.921849,3432.416257,3901.430927,1753.947336,1836.206004,1836.206004,2593.127281,2914.820867,1453.30889,1512.878445,1512.878445,2904.991866,3539.382533,1306.46095,1853.696233,1853.696233,3058.76448,3884.510695,1805.993683,2277.728132,2277.728132,4027.282216,4208.900416,1875.982567,2128.051474,2128.051474,2307.776946,2323.963715
162.4531996,174.9755337,174.9755337,984.4887323,1201.589259,46.69076875,278.7541347,278.7541347,1309.549843,2635.965441,599.8728177,750.5861692,750.5861692,1998.544968,3613.980021,164.5357607,7.435003226,7.435003226,251.862736,1201.589246,286.528318,852.1165922,852.1165922,561.36377,767.6802667,91.82386522,443.7025058,443.7025058,727.6957575,3068.378382,302.6799528,366.3623244,366.3623244,489.9659579,588.0495787
