Model,Original_h1,Top_0.1,Top_0.2,Top_0.4
SES,20.637649514380367,20.453663165640798,20.716404987255736,21.608796993569193
DES,20.746282261236832,20.448712464900762,20.6490120816493,21.42586530381409
TES,18.63839302650244,18.405908726211614,18.66252991229098,20.26851171505239
ARIMA,18.542135277713168,18.62937356881566,18.82795029614591,20.4240946648261
VAR,23.60083219180048,23.67184680796448,23.767707924092253,24.72024838289519
Multivariate_LGBM,18.856332868867927,18.81381980512871,18.656460010091603,20.365242673609746
RNN,18.58625068073341,18.64031834719183,18.854251655488117,20.269857205492873
