parameter,model,MAPE
original,SES,686.7061720710028
original,DES,680.5364251554558
original,TES,637.9025887665098
original,Multivariate_LGBM,647.1229998800164
original,ARIMA,646.7665342840662
original,Univariate_LGBM,721.6954279405571
original,VAR,795.7186102674599
1,SES,913.1781495130737
1,DES,1057.4767715150151
1,TES,1427.0408015852126
1,Multivariate_LGBM,969.9033193118646
1,ARIMA,975.6434524366836
1,Univariate_LGBM,1153.3822380661863
1,VAR,2206128585923.13
