parameter,model,MAPE
original,SES,810.9515459021433
original,DES,901.6866375537205
original,TES,902.2773651531355
original,Multivariate_LGBM,819.9004537744461
original,ARIMA,835.0434070813673
original,Univariate_LGBM,816.7469573510542
original,VAR,37407.07891196832
0.1,SES,796.8892793307971
0.1,DES,825.471741751692
0.1,TES,827.1318804063841
0.1,Multivariate_LGBM,761.6892296587242
0.1,ARIMA,773.0996647378471
0.1,Univariate_LGBM,806.5901303328222
0.1,VAR,241950.76674086868
