parameter,model,MAPE
original,SES,810.9515459021433
original,DES,901.6866375537205
original,TES,902.2773651531355
original,Multivariate_LGBM,819.9004537744461
original,ARIMA,835.0434070813673
original,Univariate_LGBM,816.7469573510542
original,VAR,37407.07891196832
1,SES,919.1757167183193
1,DES,1441.3072528042933
1,TES,3208.7783165000283
1,Multivariate_LGBM,2240.818180087286
1,ARIMA,1270.197056555394
1,Univariate_LGBM,1183.6247539440942
1,VAR,1.214250554342287e+193
