parameter,model,MAPE
original,SES,810.9515459021433
original,DES,901.6866375537205
original,TES,902.2773651531355
original,Multivariate_LGBM,819.9004537744461
original,ARIMA,835.0434070813673
original,Univariate_LGBM,816.7469573510542
original,VAR,37407.07891196832
4.6,SES,1040.9422562919565
4.6,DES,1373.5415055431104
4.6,TES,2500.545191000965
4.6,Multivariate_LGBM,4913.830647142789
4.6,ARIMA,1274.2790461887555
4.6,Univariate_LGBM,1463.6858517351952
4.6,VAR,6.165051613596143e+195
