parameter,model,MAPE
original,SES,810.9515459021433
original,DES,901.6866375537205
original,TES,902.2773651531355
original,Multivariate_LGBM,819.9004537744461
original,ARIMA,835.0434070813673
original,Univariate_LGBM,816.7469573510542
original,VAR,37407.07891196832
0.1,SES,826.8853585846904
0.1,DES,882.2612004038667
0.1,TES,838.2532960572341
0.1,Multivariate_LGBM,816.7126194962101
0.1,ARIMA,812.2229671278232
0.1,Univariate_LGBM,835.5608525270679
0.1,VAR,16167.905050826927
