parameter,model,MAPE
original,SES,686.7061720710028
original,DES,680.5364251554558
original,TES,637.9025887665098
original,Multivariate_LGBM,647.1229998800164
original,ARIMA,646.7665342840662
original,Univariate_LGBM,721.6954279405571
original,VAR,795.7186102674599
0.1,SES,678.2734541586884
0.1,DES,671.4772736436119
0.1,TES,627.0948776466571
0.1,Multivariate_LGBM,645.190932238055
0.1,ARIMA,643.0171935877162
0.1,Univariate_LGBM,738.5389686436239
0.1,VAR,779.8517510612893
