parameter,model,MAPE
original,SES,686.7061720710028
original,DES,680.5364251554558
original,TES,637.9025887665098
original,Multivariate_LGBM,647.1229998800164
original,ARIMA,646.7665342840662
original,Univariate_LGBM,721.6954279405571
original,VAR,795.7186102674599
4.6,SES,1058.585412865619
4.6,DES,1245.3166752865525
4.6,TES,1663.4079923126278
4.6,Multivariate_LGBM,1065.5008175140797
4.6,ARIMA,1157.3254400798924
4.6,Univariate_LGBM,1423.2832054108778
4.6,VAR,526164274.02650267
