Model,Original_1,h1_0.1,h1_0.2,h1_0.4
SES,172.5,178.19,197.23,222.12
DES,173.52,178.33,197.34,221.42
TES,170.44,173.62,190.55,215.58
ARIMA,172.95,171.22,188.91,216.13
VAR,198.01,188.02,203.9,241.08
Multivariate_LGBM,175.79,178.18,181.42,229.18
RNN,132.83,180.68,224.81,239.05
